fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
0,88.0,11.0,0.0,0.0,0.0
1,88.97,12.0,89.95,0.0,9.961053848266602
2,89.52,13.0,90.15,0.0,9.95761489868164
3,91.2,15.0,92.925,0.0,9.950484275817871
4,91.92,12.0,92.575,0.0,9.951090812683105
5,91.9025,17.0,93.9,0.0,9.954235076904297
6,91.65,14.0,95.65,1.657880187034607,9.954625129699707
7,92.2075,7.0,94.5,0.0,9.956140518188477
8,92.2075,7.0,93.275,0.0,9.95327377319336
9,91.8025,8.0,91.325,1.819878339767456,9.95379638671875
10,92.525,7.0,92.375,0.0,9.950871467590332
11,91.4225,9.0,88.55,1.9427344799041748,9.949307441711426
12,91.66,8.0,90.7,1.725900650024414,9.949319839477539
13,91.63,6.0,91.325,0.0,9.948533058166504
14,91.7225,6.0,97.8,1.6493685245513916,9.949170112609863
15,92.025,15.0,97.1,1.9729061126708984,9.950037002563477
16,92.495,15.0,93.675,0.0,9.949317932128906
17,92.255,15.0,94.4,0.0,9.953052520751953
18,92.73,15.0,95.625,1.6637654304504395,9.9542818069458
19,91.735,15.0,96.8,0.0,9.953996658325195
20,92.6275,15.0,97.375,2.2621803283691406,9.95235824584961
21,93.1425,13.0,96.7,1.6628332138061523,9.956241607666016
22,93.1525,12.0,95.375,1.9545516967773438,9.959729194641113
23,92.77,13.0,94.875,1.7640693187713623,9.961593627929688
24,92.805,10.0,96.3,0.0,9.965046882629395
25,93.5525,9.0,95.05,1.8686529397964478,9.965102195739746
26,93.4475,6.0,95.75,0.0,9.967569351196289
27,92.4575,6.0,95.95,0.0,9.971638679504395
28,93.82,8.0,95.275,2.092435121536255,9.9723539352417
29,93.195,10.0,96.6,0.0,9.974881172180176
30,93.96,7.0,96.4,0.0,9.972798347473145
31,94.3725,11.0,96.425,1.9286761283874512,9.974862098693848
32,94.43,11.0,96.775,0.0,9.973207473754883
33,94.4275,11.0,96.8,0.0,9.974242210388184
34,94.18,5.0,95.875,0.0,9.974785804748535
35,94.4875,6.0,96.375,0.0,9.977811813354492
36,94.0075,7.0,96.175,0.0,9.977874755859375
37,94.285,7.0,96.875,0.0,9.979939460754395
38,93.9775,7.0,92.575,0.0,9.98171329498291
39,94.3675,10.0,94.15,0.0,9.982208251953125
40,94.425,7.0,94.025,0.0,9.98510456085205
41,94.46,7.0,95.45,0.0,9.988624572753906
42,94.1325,7.0,95.5,0.0,9.988863945007324
43,94.6175,15.0,94.5,0.0,9.987756729125977
44,94.305,9.0,93.525,0.0,9.988554000854492
45,94.4325,13.0,93.25,0.0,9.986774444580078
46,94.1625,13.0,93.55,0.0,9.988025665283203
47,94.1325,14.0,94.1,0.0,9.989531517028809
48,93.02,14.0,99.175,0.0,9.993518829345703
49,94.085,11.0,98.2,0.0,9.993861198425293
50,94.93,14.0,98.35,0.0,9.997065544128418
51,94.7925,14.0,98.425,0.0,9.997122764587402
52,93.3925,86.0,97.75,0.0,9.996589660644531
53,93.655,91.0,97.825,0.0,10.002657890319824
54,93.97,93.0,97.95,0.8779158592224121,10.006913185119629
55,94.07,89.0,97.775,0.0,10.011125564575195
56,94.2625,79.0,93.65,0.0,10.014501571655273
57,94.37,79.0,92.7,0.0,10.018811225891113
58,94.56,79.0,91.15,0.9387593865394592,10.022217750549316
59,94.28,83.0,92.925,0.0,10.025057792663574
60,93.7275,83.0,92.2,0.8580914735794067,10.02556324005127
61,93.0925,79.0,94.825,0.946548581123352,10.027477264404297
62,94.5125,82.0,98.3,0.0,10.030224800109863
63,94.5775,83.0,98.35,1.100357174873352,10.034601211547852
64,94.2875,83.0,99.075,0.0,10.035547256469727
65,94.8275,79.0,98.6,0.9550217986106873,10.038326263427734
66,95.1225,75.0,98.3,0.0,10.040704727172852
67,95.04,77.0,99.0,0.0,10.042451858520508
68,94.9325,74.0,99.15,0.0,10.045234680175781
69,94.9025,79.0,99.15,0.0,10.048962593078613
70,94.87,62.0,98.625,0.0,10.050647735595703
71,94.7075,55.0,98.575,0.9834839105606079,10.05199909210205
72,95.49,63.0,98.425,1.0196704864501953,10.05333137512207
73,95.4,61.0,98.625,0.0,10.055520057678223
74,95.3975,57.0,98.425,1.2494741678237915,10.057530403137207
75,95.3725,58.0,98.025,0.0,10.05844497680664
76,95.19,57.0,97.725,0.0,10.059906005859375
77,95.17,57.0,97.675,0.0,10.06063175201416
78,94.9225,56.0,96.85,0.0,10.063648223876953
79,95.37,58.0,97.825,0.0,10.064227104187012
80,94.8875,55.0,98.125,0.0,10.06748104095459
81,95.2375,95.0,97.175,1.5321953296661377,10.068437576293945
82,95.31,95.0,97.05,0.0,10.071805953979492
83,95.0775,95.0,96.85,0.0,10.071102142333984
84,95.1675,94.0,96.925,0.48191118240356445,10.074164390563965
85,95.6875,94.0,97.275,0.0,10.07935619354248
86,95.34,95.0,98.0,0.0,10.083734512329102
87,95.365,94.0,97.825,0.0,10.085253715515137
88,95.3925,93.0,97.825,0.0,10.087518692016602
89,95.3625,89.0,98.3,0.0,10.088997840881348
90,95.35,86.0,98.875,0.0,10.088300704956055
91,95.095,86.0,98.55,0.0,10.09200668334961
92,94.7075,84.0,98.1,0.0,10.093517303466797
93,95.14,86.0,96.7,0.0,10.096702575683594
94,95.325,84.0,96.625,0.0,10.098849296569824
95,95.125,84.0,97.675,0.0,10.100143432617188
96,95.5325,84.0,97.65,0.0,10.099634170532227
97,94.9675,84.0,98.85,0.6889503002166748,10.10098648071289
98,95.225,85.0,99.175,0.5524519085884094,10.104317665100098
99,95.6675,84.0,98.2,0.0,10.106267929077148
100,95.3225,84.0,98.025,0.0,10.108168601989746
101,95.77,88.0,98.2,0.6446303129196167,10.109482765197754
102,95.965,88.0,97.825,0.0,10.1083984375
103,95.98,86.0,97.775,0.6446316838264465,10.110742568969727
104,96.035,88.0,98.05,0.0,10.112580299377441
105,96.11,90.0,97.95,0.0,10.115071296691895
106,96.27,88.0,97.65,0.6223110556602478,10.117036819458008
107,95.96,82.0,98.375,0.0,10.117441177368164
108,95.53,80.0,97.95,0.0,10.119760513305664
109,96.03,82.0,97.825,0.0,10.122422218322754
110,95.8525,79.0,98.125,0.0,10.124358177185059
111,95.765,79.0,96.8,0.0,10.126601219177246
112,96.255,79.0,97.825,0.0,10.126777648925781
113,95.38,80.0,97.45,0.0,10.127092361450195
114,95.7225,79.0,96.975,0.7466087937355042,10.1268892288208
115,95.4525,81.0,96.6,0.0,10.127731323242188
116,95.71,81.0,96.925,0.0,10.12505054473877
117,95.9875,79.0,96.35,0.6587551832199097,10.124670028686523
118,96.1275,79.0,96.225,0.0,10.125836372375488
119,96.2725,79.0,96.475,0.0,10.126598358154297
120,96.08,79.0,97.075,0.0,10.127290725708008
121,95.9025,77.0,98.05,0.0,10.128968238830566
122,95.7875,80.0,98.1,0.0,10.1298828125
123,96.0175,78.0,97.675,0.7608713507652283,10.131821632385254
124,96.09,78.0,97.875,0.0,10.132728576660156
125,96.1625,79.0,98.75,0.7266122102737427,10.134573936462402
126,96.3625,81.0,98.65,0.5807161331176758,10.134255409240723
127,96.065,79.0,98.475,0.0,10.135420799255371
128,95.8,77.0,98.175,0.0,10.13620376586914
129,96.1,74.0,97.7,0.8635709285736084,10.13559627532959
