fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
0,88.0,11.0,0.0,0.0,0.0
1,90.2625,14.0,90.075,0.0,9.961053848266602
2,85.895,8.0,90.625,0.0,9.962739944458008
3,89.2425,8.0,90.825,0.0,9.964982032775879
4,89.0875,8.0,91.6,0.0,9.962703704833984
5,87.8075,8.0,91.1,2.1172988414764404,9.964193344116211
6,88.4625,8.0,91.325,0.0,9.96762752532959
7,89.2275,8.0,93.075,0.0,9.968935012817383
8,89.7725,8.0,92.1,0.0,9.969143867492676
9,89.5075,13.0,96.05,0.0,9.967883110046387
10,90.885,12.0,96.075,0.0,9.95565414428711
11,90.195,9.0,96.05,0.0,9.957901954650879
12,90.9925,7.0,93.85,0.0,9.959277153015137
13,90.395,7.0,98.4,0.0,9.961581230163574
14,90.7425,6.0,96.525,0.0,9.963866233825684
15,90.135,8.0,97.775,0.0,9.965070724487305
16,90.3225,8.0,95.625,0.0,9.966591835021973
17,90.7825,6.0,95.6,0.0,9.970123291015625
18,89.465,6.0,94.875,0.0,9.972077369689941
19,89.16,6.0,96.8,0.0,9.97413444519043
20,89.3725,6.0,96.875,0.0,9.977396011352539
21,89.9425,6.0,98.575,2.0473999977111816,9.978790283203125
22,91.0075,6.0,98.65,0.0,9.978540420532227
23,91.3475,6.0,98.55,0.0,9.97967529296875
24,91.2775,6.0,96.925,0.0,9.9824800491333
25,92.3875,6.0,95.625,2.0889010429382324,9.98361873626709
26,91.3,7.0,92.725,2.1261091232299805,9.981639862060547
27,91.2775,14.0,93.275,0.0,9.988633155822754
28,91.545,10.0,98.575,0.0,9.989164352416992
29,92.19,8.0,98.45,0.0,9.994660377502441
30,92.1775,8.0,98.325,0.0,10.000576972961426
31,92.395,7.0,97.725,0.0,10.003510475158691
32,92.2975,7.0,97.65,0.0,10.003110885620117
33,90.59,19.0,96.325,0.0,10.003525733947754
34,92.3225,13.0,87.9,0.0,10.008516311645508
35,88.78,14.0,88.25,0.0,10.013426780700684
36,90.55,9.0,89.325,0.0,10.016814231872559
37,91.925,12.0,88.975,2.1445798873901367,10.018896102905273
