fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
0,88.0,11.0,0.0,0.0,0.0
1,89.8225,88.0,91.85,0.0,9.961053848266602
2,88.1975,84.0,92.175,0.0,9.983983039855957
3,90.7975,89.0,93.775,0.0,10.016458511352539
4,91.3775,89.0,91.05,0.0,10.03397274017334
5,90.7075,92.0,88.925,1.26942777633667,10.044214248657227
6,92.1075,94.0,95.1,0.0,10.064416885375977
7,92.0825,91.0,95.25,0.0,10.07917594909668
8,92.4775,95.0,93.125,0.0,10.090622901916504
9,91.9075,95.0,95.575,0.0,10.10592269897461
10,92.245,96.0,90.35,0.0,10.13178825378418
11,92.795,96.0,94.525,0.0,10.159836769104004
12,92.2925,96.0,93.45,0.0,10.176201820373535
13,92.7325,96.0,97.45,0.0,10.187427520751953
14,91.9475,93.0,93.9,0.0,10.2073974609375
15,92.84,96.0,94.275,0.0,10.214527130126953
16,92.755,96.0,94.1,0.0,10.240446090698242
17,93.0825,96.0,92.95,0.0,10.24267578125
18,92.7625,94.0,92.625,0.0,10.260985374450684
19,92.805,97.0,93.325,0.0,10.264198303222656
20,92.655,96.0,98.625,0.0,10.286449432373047
21,93.215,96.0,97.55,0.6506710648536682,10.289560317993164
22,93.385,97.0,97.675,0.0,10.294251441955566
23,92.6575,97.0,96.45,0.0,10.309916496276855
24,93.265,96.0,95.85,0.0,10.315130233764648
25,93.465,98.0,95.075,0.5159808397293091,10.321112632751465
26,93.0925,97.0,92.05,0.42123594880104065,10.343080520629883
27,93.93,97.0,96.95,0.0,10.362223625183105
28,93.9275,97.0,96.45,0.0,10.363420486450195
29,93.775,96.0,98.525,0.0,10.369226455688477
30,93.8375,97.0,96.875,0.0,10.373098373413086
31,93.84,97.0,96.025,0.0,10.387053489685059
32,93.8675,98.0,95.575,0.0,10.38721752166748
33,94.1925,98.0,95.225,0.0,10.40009880065918
34,94.685,97.0,95.15,0.0,10.414933204650879
35,94.6475,97.0,92.75,0.0,10.421269416809082
36,94.3725,97.0,94.225,0.0,10.42890453338623
37,94.0925,98.0,92.6,0.2584620416164398,10.432361602783203
38,94.3275,97.0,97.575,0.3069688677787781,10.436629295349121
39,94.875,97.0,97.5,0.0,10.445802688598633
40,94.6025,97.0,97.25,0.23625360429286957,10.44343090057373
41,94.26,97.0,96.9,0.29661425948143005,10.44953441619873
42,94.07,97.0,95.65,0.0,10.465858459472656
43,94.8025,97.0,98.15,0.0,10.470335006713867
44,94.82,97.0,96.95,0.0,10.47745132446289
45,92.505,98.0,97.025,0.0,10.48254680633545
46,94.675,98.0,95.15,0.2714212238788605,10.487703323364258
47,94.085,97.0,96.225,0.0,10.501363754272461
48,95.1725,96.0,94.925,0.0,10.507170677185059
49,95.315,97.0,96.925,0.0,10.509968757629395
50,95.105,97.0,97.95,0.0,10.516669273376465
51,95.595,96.0,97.95,0.25697261095046997,10.526185035705566
52,95.5275,97.0,98.0,0.0,10.530782699584961
53,95.21,97.0,92.775,0.0,10.533082008361816
54,95.32,97.0,92.9,0.24112601578235626,10.53265380859375
55,95.3,97.0,94.875,0.0,10.538503646850586
56,95.6325,95.0,95.875,0.0,10.552976608276367
57,94.73,95.0,95.675,0.3090483546257019,10.55502986907959
58,94.715,98.0,95.35,0.0,10.564697265625
59,95.54,97.0,95.025,0.16394583880901337,10.574136734008789
60,95.63,97.0,95.825,0.0,10.57755184173584
61,95.6525,97.0,96.6,0.0,10.583755493164062
62,95.635,97.0,97.3,0.0,10.587800025939941
63,95.2025,96.0,96.75,0.0,10.589187622070312
64,95.5925,97.0,97.025,0.0,10.588313102722168
65,95.925,95.0,96.375,0.0,10.595914840698242
66,95.9625,95.0,97.725,0.0,10.594847679138184
67,95.905,97.0,97.425,0.0,10.599122047424316
68,95.8,98.0,97.425,0.0,10.60200023651123
69,95.935,95.0,98.15,0.0,10.61081600189209
70,95.8,95.0,93.05,0.1861381083726883,10.612669944763184
71,95.9425,97.0,97.9,0.0,10.613642692565918
72,95.9425,97.0,95.45,0.30124253034591675,10.62132740020752
73,95.79,97.0,96.125,0.23218268156051636,10.625452041625977
74,95.9975,97.0,96.725,0.0,10.626296043395996
75,96.0475,95.0,95.775,0.10226641595363617,10.63525676727295
76,96.0575,97.0,96.65,0.0,10.64084243774414
77,96.3025,97.0,97.0,0.0,10.648567199707031
78,96.2625,97.0,97.725,0.0,10.64996337890625
