0,34,2,36,,122,4,3,7,50,
1,98,24,,92,14,7,11,,30,
2,41,92,39,1,11,56,44,,,
3,,2,77,23,10,13,13,80,48,
4,151,10,44,34,1,25,,,,
5,68,10,4,1,5,1,40,2,309,
6,3,23,55,9,5,8,119,3,1,152
7,132,2,9,6,11,19,2,15,1,23
8,9,10,14,22,15,42,20,1,9,10
9,1,6,,3,95,1,37,2,23,2
10,45,57,,68,,99,,,,
11,16,6,1,88,29,21,18,24,68,
12,34,4,20,1,53,15,8,2,8,4
13,2,47,3,1,4,34,12,147,,
14,3,45,2,3,19,47,,3,104,1
15,6,,,25,27,117,2,132,,
16,26,1,30,112,25,,69,,,
17,14,4,17,4,62,11,9,,25,
18,10,5,3,15,10,19,9,4,2,9
19,29,72,4,28,79,7,19,155,,
20,1,1,30,6,,1,4,77,,1
21,96,140,66,,,,,,,
22,18,32,2,13,10,20,3,85,15,26
23,15,43,2,28,57,,13,,176,
24,67,9,16,11,11,49,41,9,4,162
25,80,11,1,23,61,13,38,7,1,3
26,4,14,136,31,6,3,27,15,68,
27,3,1,,41,103,19,,133,,
28,65,29,5,82,27,1,,37,84,
29,28,4,24,27,31,57,136,,,
30,12,5,60,3,8,19,4,17,,4
31,25,,7,2,,5,11,13,1,21
32,45,16,8,21,,12,8,60,25,7
33,20,19,15,5,3,24,21,85,85,
34,5,,24,26,14,28,103,51,,
35,14,48,2,,,32,3,3,44,4
36,46,22,1,1,11,10,58,1,26,118
37,2,35,170,42,49,,,,,
38,4,12,19,3,168,3,38,165,,
39,16,67,61,22,3,38,1,15,14,9
40,10,,28,1,4,35,20,138,66,
41,4,1,25,18,10,11,4,441,,
42,4,7,5,23,1,1,35,4,10,
43,,,20,27,252,,,,,
44,5,7,4,7,136,1,29,,14,180
45,14,117,25,31,63,,,,,
46,10,13,47,8,,6,115,46,64,
47,,,10,3,44,30,23,20,35,36
48,47,4,1,6,4,10,1,3,,35
49,35,2,2,2,1,116,46,6,115,
50,13,1,2,75,1,4,7,14,174,
51,2,6,1,1,3,52,7,6,72,29
52,5,16,8,15,5,60,35,58,21,22
53,5,11,110,145,,,,,,
54,,126,52,1,64,1,28,,,
55,23,14,1,7,70,2,6,2,,53
56,15,91,12,1,23,34,9,42,1,9
57,25,1,21,,18,4,13,9,26,11
58,15,7,5,14,7,2,2,31,9,28
59,69,2,13,17,35,46,58,1,13,
60,1,1,34,24,4,27,2,23,38,49
61,53,23,13,44,23,7,29,8,,43
62,34,5,6,3,9,18,1,75,24,33
63,7,114,2,4,29,17,79,,,
64,103,7,,20,2,30,,11,1,2
65,1,38,1,,31,57,3,24,4,170
66,9,74,119,3,41,2,25,,,
67,33,122,22,1,8,1,90,,,
68,44,6,1,8,16,10,25,23,,100
69,9,22,2,1,27,33,10,24,10,4
70,98,17,11,49,44,2,41,,,
71,,23,,39,83,142,,,,
72,2,134,28,39,1,2,40,27,,
73,5,15,63,12,16,17,25,9,,16
74,8,14,81,14,18,1,,1,14,5
75,,2,87,41,60,61,,,,
76,53,20,56,34,4,46,63,,,
77,11,1,71,19,4,5,30,,123,
78,11,1,22,36,78,33,16,3,9,1
79,26,,19,154,2,22,1,14,1,9
80,,1,30,4,8,1,55,78,23,49
81,13,17,,11,5,6,47,27,29,8
82,3,1,13,1,4,31,1,,21,19
83,3,3,6,22,50,17,246,,,
84,29,,4,5,75,31,66,19,129,
85,28,30,4,16,6,23,59,26,14,15
86,5,18,,23,16,4,,9,29,79
87,11,2,11,19,31,,3,2,97,285
88,4,20,22,20,17,30,23,23,16,75
89,1,49,,38,20,64,,73,2,55
90,140,,3,13,6,15,6,11,8,33
91,44,1,124,6,5,1,36,12,3,82
92,,7,23,1,3,4,36,1,210,
93,6,101,22,57,5,,82,,,
94,57,13,48,8,96,6,64,,,
95,25,38,59,6,10,7,12,16,,2
96,,67,1,123,64,,,,,
97,76,,22,9,,11,236,,,
98,,46,4,82,49,98,,,,
99,1,3,18,44,6,,10,128,,3
100,,,57,15,1,1,7,,14,16
101,11,1,1,105,1,50,12,22,,180
102,,1,1,27,,43,1,91,4,2
103,5,,1,8,3,5,59,36,135,
104,14,,1,2,27,85,44,50,19,38
105,15,2,1,27,,,1,38,31,7
106,34,69,7,14,38,5,3,,,3
107,249,173,,,,,,,,
108,10,4,49,63,10,12,42,,4,22
109,51,13,47,39,27,3,18,,154,
110,5,,3,51,23,16,43,2,61,26
111,9,13,5,3,8,14,,9,7,32
112,2,80,85,18,,4,,4,109,
113,18,10,,45,79,63,2,1,121,
114,25,5,14,24,8,13,14,14,1,111
115,1,6,6,147,6,76,11,,,
116,19,4,2,,16,5,4,3,38,51
117,1,23,14,52,90,150,,,,
118,22,120,1,1,245,,,,,
119,,84,7,17,1,5,1,117,127,
120,15,29,5,20,33,14,91,1,109,
121,57,7,62,68,30,,2,14,4,9
122,49,2,1,23,15,15,51,71,6,22
123,70,135,12,12,42,,,,,
124,7,37,2,7,4,27,34,30,2,65
125,2,78,11,2,22,6,,2,5,4
126,39,,13,92,1,24,50,56,,
127,5,43,106,14,1,2,6,7,62,632
128,17,3,19,75,3,2,,52,25,9
129,34,30,5,7,116,68,,,,
130,14,1,,14,23,175,31,,,
131,50,48,22,39,3,1,59,1,1,21
132,48,28,,5,41,3,34,15,14,180
133,68,13,1,123,22,,,3,11,26
134,27,1,7,27,,4,4,198,,
135,1,,78,,86,15,34,4,5,2
136,26,107,5,3,8,,35,15,93,
137,51,1,5,1,10,9,,30,2,27
138,15,,15,22,38,107,,10,64,
139,18,9,10,7,2,8,5,22,44,47
140,3,8,66,65,29,,54,17,8,
141,2,3,37,8,36,3,30,5,20,104
142,48,,26,20,78,29,3,50,,
143,2,4,40,4,10,47,13,3,78,31
144,,74,82,28,18,32,38,,,
145,56,19,18,3,10,47,3,6,12,22
146,16,53,2,10,51,14,,16,77,5
147,15,1,13,15,24,22,1,55,27,52
148,6,79,94,189,,,,,,
149,3,2,19,5,17,27,3,25,24,114
150,10,4,25,26,15,86,5,23,10,35
151,9,46,14,80,1,17,1,43,34,22
152,7,30,1,15,5,1,,,8,73
153,,10,8,4,113,14,1,1,31,23
154,2,6,94,35,9,8,27,11,,
155,,5,3,203,1,14,7,25,,
156,5,27,5,,20,3,193,,,
157,16,56,51,4,1,2,16,27,2,13
158,15,,9,1,76,50,1,34,19,31
159,12,53,81,52,38,8,1,146,,
160,51,14,,1,38,,1,,11,8
161,4,4,126,,38,23,40,46,,
162,138,19,9,7,35,3,89,,,
163,,2,3,12,13,73,19,14,,7
164,1,,5,2,,17,6,138,7,4
165,19,1,46,47,27,183,,,,
166,,,,2,,28,36,3,,38
167,,4,160,7,3,34,58,,,
168,102,18,6,1,,63,9,7,6,7
169,1,9,242,,,,,,,
170,35,23,210,,,,,,,
171,,36,15,84,14,23,121,,,
172,1,,8,,17,,170,4,93,
173,,25,10,3,6,2,7,47,9,48
174,23,3,13,13,9,36,,25,16,1
175,4,54,,12,12,4,46,99,4,2
176,18,4,1,9,12,346,,,,
177,46,169,51,,,,,,,
178,,63,11,1,6,63,66,,3,44
179,18,4,10,11,11,7,23,36,20,15
180,,29,38,45,32,8,54,,87,
181,1,3,8,4,1,105,5,30,62,
182,28,86,1,3,2,18,32,1,9,194
183,178,1,17,68,,,,,,
184,14,1,12,2,2,75,4,6,1,1
185,4,100,8,4,,5,15,46,2,13
186,97,16,47,,,39,53,,,
187,87,1,1,1,8,21,1,1,19,48
188,5,,3,8,6,49,,18,2,39
189,191,22,15,8,48,,,,,
190,,20,14,29,4,3,4,1,10,90
191,26,52,27,3,10,13,4,36,176,
192,1,5,4,12,12,21,9,10,16,126
193,16,20,30,36,35,5,,19,67,30
194,6,40,16,6,21,1,9,22,1,
195,6,4,,6,6,14,45,128,8,92
196,2,41,5,4,1,1,42,1,10,27
197,2,8,3,159,,13,86,,,
198,,24,,23,17,47,1,14,53,2
199,1,3,5,3,43,26,6,5,40,11
